original_index,review_text,review_text_processed,review_text_tokenized,polarity,rating,kfold_polarity,kfold_rating
40021,Produtos de boa qualidade.,produtos de boa qualidade.,"['produtos', 'de', 'boa', 'qualidade']",1.0,5,10,10
79498,As lojas lannister até agora foram perfeitas,as lojas lannister ate agora foram perfeitas,"['as', 'lojas', 'lannister', 'ate', 'agora', 'foram', 'perfeitas']",1.0,5,10,10
60411,"Apesar que na imagem de venda NÃO dava pra ver que tinha Tantas corujas, folhas e flores estampadas.
A criançada iria gostar mais.
O preço era razoável, e por último, acho que vi duas tampas na vend","apesar que na imagem de venda nao dava pra ver que tinha tantas corujas, folhas e flores estampadas.
a criancada iria gostar mais.
o preco era razoavel, e por ultimo, acho que vi duas tampas na vend","['apesar', 'que', 'na', 'imagem', 'de', 'venda', 'nao', 'dava', 'pra', 'ver', 'que', 'tinha', 'tantas', 'corujas', 'folhas', 'flores', 'estampadas', 'criancada', 'iria', 'gostar', 'mais', 'preco', 'era', 'razoavel', 'por', 'ultimo', 'acho', 'que', 'vi', 'duas', 'tampas', 'na', 'vend']",,3,-1,10
54718,"Cobrei uma posição após os correios informarem que não receberam o produto e a empresa não deu resposta. Nem percam tempo tentando comprar com esta empresa, estou cancelando a compra. Péssimo!","cobrei uma posicao apos os correios informarem que nao receberam o produto e a empresa nao deu resposta. nem percam tempo tentando comprar com esta empresa, estou cancelando a compra. pessimo!","['cobrei', 'uma', 'posicao', 'apos', 'os', 'correios', 'informarem', 'que', 'nao', 'receberam', 'produto', 'empresa', 'nao', 'deu', 'resposta', 'nem', 'percam', 'tempo', 'tentando', 'comprar', 'com', 'esta', 'empresa', 'estou', 'cancelando', 'compra', 'pessimo']",0.0,1,10,10
58711,Por enquanto td certo. Ainda não testei o produto mas já recebi.,por enquanto td certo. ainda nao testei o produto mas ja recebi.,"['por', 'enquanto', 'td', 'certo', 'ainda', 'nao', 'testei', 'produto', 'mas', 'ja', 'recebi']",1.0,5,10,10
73628,Tive problemas mandei email para devolver a lannister disse que eu receberia retorno da targaryen em 48 hrs e ja se passaram 3 dias e nada ainda.,tive problemas mandei email para devolver a lannister disse que eu receberia retorno da targaryen em 48 hrs e ja se passaram 3 dias e nada ainda.,"['tive', 'problemas', 'mandei', 'email', 'para', 'devolver', 'lannister', 'disse', 'que', 'eu', 'receberia', 'retorno', 'da', 'targaryen', 'em', '48', 'hrs', 'ja', 'se', 'passaram', 'dias', 'nada', 'ainda']",0.0,1,10,10
31525,"Entrega antes do prazo...recomendo
","entrega antes do prazo...recomendo
","['entrega', 'antes', 'do', 'prazo', 'recomendo']",1.0,5,10,10
87073,No 110v e meio fraca mais no 220v como manda a voltagem responde bem 😎,no 110v e meio fraca mais no 220v como manda a voltagem responde bem 😎,"['no', '110v', 'meio', 'fraca', 'mais', 'no', '220v', 'como', 'manda', 'voltagem', 'responde', 'bem']",1.0,5,10,10
24647,O pedido não foi entregue ,o pedido nao foi entregue ,"['pedido', 'nao', 'foi', 'entregue']",0.0,1,10,10
78640,"Minha prima que indicou o produto, ela gostou, estou usando agora, vou vê se gosto","minha prima que indicou o produto, ela gostou, estou usando agora, vou ve se gosto","['minha', 'prima', 'que', 'indicou', 'produto', 'ela', 'gostou', 'estou', 'usando', 'agora', 'vou', 've', 'se', 'gosto']",1.0,4,10,10
